"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",3955200,"sentence","","Il","entre","sur","la","scène","inondée","par","la","lumière","des","projecteurs","puissants","","","","Il","cherche","à","joindre","le","curé","de","la","paroisse","de","son","parrain","","","","Il","ouvre","la","portière","de","sa","voiture","à","la","carrosserie","très","abîmée"
"2",3975800,"pseudo","","tyce","jerihui","ir","susent","naï","latch","osi","cruide","qo","huidu","ux","ornit","","","","gi","coudai","diq","shomdé","ui","qut","resitre","irir","fe","vobre","ec","uir","","","","ko","auches","vilou","uc","femvêtits","pud","speute","za","intièta","ar","zy","schompte"
"3",3996400,"sentence","","Mon","ami","aimerait","comprendre","les","annotations","de","son","professeur","de","grec","ancien","","","","Il","va","voir","le","bénévole","qui","taille","de","larges","tranches","de","pain","","","","Le","romancier","a","fini","le","manuscrit","promis","à","son","éditeur","si","impatient"
"4",4017000,"pseudo","","uc","jiel","folvedie","ar","duff","hai","tuhuvisir","zû","elfercibe","spu","faipadre","preslu","","","","oq","i","atés","vox","sre","peille","borgue","he","coupese","os","piel","flygne","","","","os","sevede","um","attennant","quelbien","taq","ailciplir","za","moutenqua","ze","meindre","imvez"
"5",4037600,"sentence","","Il","déteste","la","couleur","des","carreaux","de","sa","deuxième","salle","de","bain","","","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu","","","","Il","a","peur","que","les","talons","rayent","le","parquet","de","bois","tendre"
"6",4058200,"pseudo","","ec","escheter","kor","fça","combletrait","stoue","um","mum","maprore","i","re","kox","","","","na","transle","qe","calanes","jui","enmavons","na","ar","limcialu","schot","oq","stra","","","","apgé","vonne","um","gâvanprès","co","sotes","row","fe","tène","ogir","sqâle","raplui"
"7",4078800,"sentence","","Le","locataire","raconte","que","la","gardienne","adore","éplucher","les","pommes","de","terre","","","","Ils","ont","découvert","la","bactérie","qui","a","causé","des","épidémies","de","grippe","","","","Elle","montre","son","bras","pris","dans","un","gros","bloc","de","plâtre","blanc"
"8",4099400,"pseudo","","co","comelcart","simvant","trà","jo","manversez","seche","danlicès","olk","pabric","ud","lèton","","","","lo","imcutière","salsant","nêt","bonretvé","monmantende","um","uo","piedtoinaît","gi","za","anent","","","","qo","frècouble","i","noeu","he","bonviment","fipété","i","hes","renméte","jo","schyourte"
"9",4120000,"sentence","","Il","craint","de","manquer","le","train","qui","doit","partir","à","quatre","heures","","","","Il","sursaute","en","entendant","le","grincement","de","la","lourde","porte","en","bois","","","","Les","étoiles","brillent","en","émettant","une","lumière","inconstante","au","cours","du","temps"
"10",4140600,"pseudo","","slé","trautre","chrompre","er","sercrime","gny","brymphe","mousonblité","lo","sadre","us","mârir","","","","na","vreint","kça","délu","ata","poutrité","ub","nauf","renische","lo","brorne","blanseilre","","","","os","resanait","wcienne","uc","imi","telcer","ux","psard","brustenets","da","prépurait","irnal"
"11",4161200,"sentence","","Il","refuse","de","supporter","la","fumée","des","cigarettes","de","ses","voisins","impolis","","","","Elle","a","oublié","de","prévenir","la","deuxième","vendeuse","du","magasin","de","chaussures","","","","Le","coureur","fait","le","tour","de","la","piste","recouverte","de","bitume","dur"
"12",4181800,"pseudo","","ub","phralc","sanlent","algarve","kau","imde","boufte","dré","pnau","ir","léne","nil","","","","qe","bourêle","ocpresde","vry","glueux","heubise","aletdée","spû","hiz","tefivice","al","exane","","","","og","tentiprès","lèser","co","nument","ui","ull","cefin","pna","piter","zuoi","hagné"
"13",4202400,"sentence","","Il","reçoit","un","sac","de","céréales","cultivées","dans","le","nord","du","pays","","","","Le","bijoutier","a","perdu","la","boîte","de","sa","chaîne","en","argent","massif","","","","Le","peintre","nettoie","le","manche","de","ses","brosses","en","poils","de","sanglier"
"14",4223000,"pseudo","","zy","cutonséce","didis","gi","na","ité","sqyan","zac","na","pnube","na","vça","","","","gû","gnarc","gû","voyapadi","ar","zû","décarmi","i","ko","trissenvait","stas","sphegs","","","","pace","gisse","gi","ass","zau","aguë","ol","ui","skal","zé","vrût","smais"
"15",4243600,"sentence","","Elle","demande","que","son","frère","fasse","des","ronds","de","fumée","de","cigarette","","","","Le","garçon","répond","que","sa","soeur","cherche","un","tube","de","colle","blanche","","","","Nous","envisageons","de","bâtir","une","maison","qui","dominera","la","vallée","du","fleuve"
"16",4264200,"pseudo","","ilé","chotite","fêrimeme","uc","dèle","zé","englile","mipevant","na","ub","hisci","raifecle","","","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar","","","","ze","sta","aze","ec","pretion","i","sprieu","qût","défre","atcrune","zinge","abéles"
