"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",2636800,"sentence","","Mon","ami","aimerait","comprendre","les","annotations","de","son","professeur","de","grec","ancien","","","","Le","bijoutier","a","perdu","la","boîte","de","sa","chaîne","en","argent","massif","","","","Il","va","voir","le","bénévole","qui","taille","de","larges","tranches","de","pain"
"2",2657400,"pseudo","","lo","imcutière","salsant","nêt","bonretvé","monmantende","um","uo","piedtoinaît","gi","za","anent","","","","cra","vub","skaindre","imtusuyait","gli","croipotumes","he","sès","exricoplir","da","crop","froeil","","","","da","mysble","he","usi","za","avopique","fituavoir","minc","us","grif","og","djui"
"3",2678000,"sentence","","Elle","respire","le","parfum","des","roses","qui","ornent","la","table","du","salon","","","","Il","regarde","ses","enfants","choisir","les","jouets","qui","finiront","dans","la","caisse","","","","La","pluie","frappe","les","ardoises","des","toits","des","immeubles","de","la","ville"
"4",2698600,"pseudo","","uc","emdre","jo","dousiser","nel","instrés","ar","fe","kève","qo","ato","aulèce","","","","slé","trautre","chrompre","er","sercrime","gny","brymphe","mousonblité","lo","sadre","us","mârir","","","","ze","magé","algasé","ia","préasetait","ile","igé","kêne","rhes","manpelcits","nog","zown"
"5",2719200,"sentence","","Le","jardinier","redoute","les","brusques","changements","de","la","température","de","la","serre","","","","Il","ouvre","la","portière","de","sa","voiture","à","la","carrosserie","très","abîmée","","","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu"
"6",2739800,"pseudo","","fe","notys","sat","ir","afecler","cramièté","he","disgenquent","ui","ros","ansins","souvons","","","","uc","jiel","folvedie","ar","duff","hai","tuhuvisir","zû","elfercibe","spu","faipadre","preslu","","","","ige","sournété","phriète","ox","rédapse","iol","prenverque","cli","guiplennua","ia","acor","queldé"
"7",2760400,"sentence","","Je","vais","élaborer","un","plan","qui","permettra","de","redresser","nos","récentes","pertes","","","","Il","tape","sur","le","clou","qui","fend","le","bois","de","la","commode","","","","Il","déteste","la","couleur","des","carreaux","de","sa","deuxième","salle","de","bain"
"8",2781000,"pseudo","","sow","ipé","culployer","kai","indain","um","briponmisi","mégusais","zà","rentofla","guèque","mébant","","","","ar","garmiscoru","pnot","prirare","jax","baiterlée","nif","patcucige","ins","aluri","spha","pèmanferlons","","","","jo","stain","kla","fe","puson","vamphre","ric","ko","cemième","uer","acrèriovant","permender"
"9",2801600,"sentence","","Le","magicien","fait","disparaître","les","bonbons","étalés","sur","le","sol","du","théâtre","","","","Il","vérifie","les","installations","qui","assurent","la","sécurité","des","passagers","du","vol","","","","Il","parvient","à","déchiffrer","les","indices","du","visage","de","son","redoutable","adversaire"
"10",2822200,"pseudo","","gi","semenges","avièvec","ol","halècrets","kia","suisiter","armitît","ol","ol","préger","forvanges","","","","hipt","aledeur","vry","lix","avéle","idige","zul","caval","qo","lolée","og","trasoment","","","","chlec","ludre","océe","scû","groil","i","co","arpécoup","lété","lonme","na","têser"
"11",2842800,"sentence","","Elle","a","oublié","de","prévenir","la","deuxième","vendeuse","du","magasin","de","chaussures","","","","Elle","a","égaré","le","cartable","qui","contenait","les","copies","du","dernier","contrôle","","","","Il","cuisine","en","suivant","des","recettes","héritées","de","son","vieil","oncle","Gustave"
"12",2863400,"pseudo","","za","fiste","alnuer","muo","ahijours","vry","conla","hul","grilsases","lo","gû","coumi","","","","zo","bongarteils","devré","ui","sembord","kuo","broueux","nal","proitre","ub","atoge","sugsira","","","","uo","herdre","omre","ud","débon","insercovec","afet","ub","conpaner","ze","os","pimeze"
"13",2884000,"sentence","","Le","balayeur","respire","un","air","chargé","de","fines","particules","de","poussière","grise","","","","Le","soleil","va","accélérer","la","fonte","de","cette","mince","couche","de","glace","","","","Le","promeneur","lâche","la","laisse","de","son","chien","qui","aboie","sans","arrêt"
"14",2904600,"pseudo","","ol","fornonti","iphe","pouvetsisça","zaï","hômeune","dicume","mux","gû","zer","ko","ifletes","","","","gi","coudai","diq","shomdé","ui","qut","resitre","irir","fe","vobre","ec","uir","","","","tyce","jerihui","ir","susent","naï","latch","osi","cruide","qo","huidu","ux","ornit"
"15",2925200,"sentence","","Elle","demande","que","son","frère","fasse","des","ronds","de","fumée","de","cigarette","","","","Ils","ont","découvert","la","bactérie","qui","a","causé","des","épidémies","de","grippe","","","","Le","cuisinier","remue","la","sauce","qui","cuit","dans","une","casserole","en","acier"
"16",2945800,"pseudo","","da","gomçon","og","temiste","ar","briol","nil","hôgé","traîse","i","pobime","franne","","","","og","tentiprès","lèser","co","nument","ui","ull","cefin","pna","piter","zuoi","hagné","","","","uo","restolot","skub","sigorques","uo","luder","ze","dor","hiscucoumais","aq","innonses","resete"
