"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",0,"sentence","","Je","vais","élaborer","un","plan","qui","permettra","de","redresser","nos","récentes","pertes","","","","Nous","envisageons","de","bâtir","une","maison","qui","dominera","la","vallée","du","fleuve","","","","Il","explique","que","son","inspiration","vient","de","ses","voyages","à","la","mer"
"2",20600,"pseudo","","za","fiste","alnuer","muo","ahijours","vry","conla","hul","grilsases","lo","gû","coumi","","","","co","monvate","i","flipble","ps","ryan","he","er","aftasant","er","tâs","isièler","","","","gi","coudai","diq","shomdé","ui","qut","resitre","irir","fe","vobre","ec","uir"
"3",41200,"sentence","","Le","joueur","sort","la","carte","dissimulée","dans","la","doublure","de","sa","manche","","","","Le","coureur","fait","le","tour","de","la","piste","recouverte","de","bitume","dur","","","","Il","compte","les","mots","qui","couvrent","la","page","imprimée","en","petits","caractères"
"4",61800,"pseudo","","qe","imtare","os","croinerme","ox","avate","zû","cluff","strui","apcote","re","mugue","","","","oq","i","atés","vox","sre","peille","borgue","he","coupese","os","piel","flygne","","","","os","sevede","um","attennant","quelbien","taq","ailciplir","za","moutenqua","ze","meindre","imvez"
"5",82400,"sentence","","Il","entre","sur","la","scène","inondée","par","la","lumière","des","projecteurs","puissants","","","","Il","a","brisé","le","bouchon","de","la","bouteille","de","jus","de","raisin","","","","Il","refuse","de","supporter","la","fumée","des","cigarettes","de","ses","voisins","impolis"
"6",103000,"pseudo","","ui","lidesséce","kuste","iz","caint","pui","brox","munu","apé","imconlors","ia","garle","","","","jo","pasgara","zai","dro","ko","skaud","milbilsé","dépenrode","i","blouïe","ore","chetit","","","","qube","i","orble","ar","marciote","taz","craintrer","gox","encome","ub","citalme","déstuige"
"7",123600,"sentence","","Le","cuisinier","remue","la","sauce","qui","cuit","dans","une","casserole","en","acier","","","","Elle","montre","son","bras","pris","dans","un","gros","bloc","de","plâtre","blanc","","","","Il","déteste","la","couleur","des","carreaux","de","sa","deuxième","salle","de","bain"
"8",144200,"pseudo","","jo","stain","kla","fe","puson","vamphre","ric","ko","cemième","uer","acrèriovant","permender","","","","uo","restolot","skub","sigorques","uo","luder","ze","dor","hiscucoumais","aq","innonses","resete","","","","da","mysble","he","usi","za","avopique","fituavoir","minc","us","grif","og","djui"
"9",164800,"sentence","","Le","balayeur","respire","un","air","chargé","de","fines","particules","de","poussière","grise","","","","Il","craint","de","manquer","le","train","qui","doit","partir","à","quatre","heures","","","","Il","efface","les","traces","de","son","passage","dans","le","champ","de","blé"
"10",185400,"pseudo","","co","chrêne","uc","mivertait","ub","clêle","alq","tremtecute","uc","sès","stroids","rondâra","","","","ol","fornonti","iphe","pouvetsisça","zaï","hômeune","dicume","mux","gû","zer","ko","ifletes","","","","fe","raimais","psendre","ud","saiques","pneute","salnlenté","uve","ze","dime","ow","sproprès"
"11",206000,"sentence","","Il","joue","le","rôle","du","comte","qui","meurt","en","maudissant","ses","enfants","","","","Le","notaire","consulte","les","lourds","volumes","empilés","sur","les","étagères","de","métal","","","","La","mère","sourit","en","comprenant","que","son","fils","veut","surprendre","son","père"
"12",226600,"pseudo","","ow","juslere","béme","iz","sbié","fe","aq","ovver","acoucution","os","tenver","rub","","","","pace","gisse","gi","ass","zau","aguë","ol","ui","skal","zé","vrût","smais","","","","ia","tibe","qub","ué","konc","saz","lesi","zà","didi","ui","na","letprit"
"13",247200,"sentence","","Le","magicien","fait","disparaître","les","bonbons","étalés","sur","le","sol","du","théâtre","","","","Il","regarde","ses","enfants","choisir","les","jouets","qui","finiront","dans","la","caisse","","","","Il","va","voir","le","bénévole","qui","taille","de","larges","tranches","de","pain"
"14",267800,"pseudo","","tyce","jerihui","ir","susent","naï","latch","osi","cruide","qo","huidu","ux","ornit","","","","da","gomçon","og","temiste","ar","briol","nil","hôgé","traîse","i","pobime","franne","","","","za","bart","zà","aflé","za","beôle","sbû","skuis","ux","grompetsir","mês","heusila"
"15",288400,"sentence","","Les","branches","brûlent","en","lançant","des","étincelles","qui","illuminent","la","nuit","sombre","","","","Le","prêtre","salue","le","menuisier","qui","répare","le","plafond","de","la","chapelle","","","","Le","chanvre","est","une","fibre","qui","donne","de","la","toile","trop","rêche"
"16",309000,"pseudo","","fe","i","teute","zà","agenmir","oq","za","nerftéfin","he","alr","qe","décone","","","","co","comelcart","simvant","trà","jo","manversez","seche","danlicès","olk","pabric","ud","lèton","","","","zo","bongarteils","devré","ui","sembord","kuo","broueux","nal","proitre","ub","atoge","sugsira"
