"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",4614400,"sentence","","Le","bijoutier","a","perdu","la","boîte","de","sa","chaîne","en","argent","massif","","","","Le","balayeur","respire","un","air","chargé","de","fines","particules","de","poussière","grise","","","","Le","rat","sort","de","son","trou","creusé","dans","le","mur","du","salon"
"2",4635000,"pseudo","","us","paunais","boq","los","scrym","tis","reles","gi","ze","afval","crop","acges","","","","za","fiste","alnuer","muo","ahijours","vry","conla","hul","grilsases","lo","gû","coumi","","","","fe","notys","sat","ir","afecler","cramièté","he","disgenquent","ui","ros","ansins","souvons"
"3",4655600,"sentence","","Cette","cliente","veut","prendre","des","pilules","efficaces","contre","le","mal","de","tête","","","","Le","promeneur","lâche","la","laisse","de","son","chien","qui","aboie","sans","arrêt","","","","Le","fermier","dit","que","sa","fille","souhaite","apprendre","à","traire","les","vaches"
"4",4676200,"pseudo","","gû","gnarc","gû","voyapadi","ar","zû","décarmi","i","ko","trissenvait","stas","sphegs","","","","na","transle","qe","calanes","jui","enmavons","na","ar","limcialu","schot","oq","stra","","","","re","bompre","ipemi","re","sbueule","dri","bounite","afé","za","heusent","ub","praile"
"5",4696800,"sentence","","Le","journaliste","écrit","un","article","qui","dénonce","les","fraudes","du","maire","sortant","","","","Elle","coupe","le","fil","qui","pend","de","sa","robe","en","soie","noire","","","","Le","passant","examine","le","luxueux","canapé","abandonné","sur","le","bord","du","trottoir"
"6",4717400,"pseudo","","stine","faneque","sles","alcerle","gec","dovanir","cetcelcre","vesgue","ux","vuc","qo","flog","","","","ine","arnal","lentit","fué","sorsé","sby","prégretrec","us","slaupe","ux","ui","hôtrire","","","","os","sevede","um","attennant","quelbien","taq","ailciplir","za","moutenqua","ze","meindre","imvez"
"7",4738000,"sentence","","La","mère","a","peur","que","son","enfant","tombe","dans","la","rivière","glacée","","","","Elle","a","accepté","que","son","fils","achète","une","télévision","à","écran","plat","","","","Il","a","peur","que","les","talons","rayent","le","parquet","de","bois","tendre"
"8",4758600,"pseudo","","er","graï","gymce","glû","coubre","pui","glonfrée","gni","ux","brûne","da","setré","","","","uo","herdre","omre","ud","débon","insercovec","afet","ub","conpaner","ze","os","pimeze","","","","ze","magé","algasé","ia","préasetait","ile","igé","kêne","rhes","manpelcits","nog","zown"
"9",4779200,"sentence","","Il","cuisine","en","suivant","des","recettes","héritées","de","son","vieil","oncle","Gustave","","","","La","mère","sourit","en","comprenant","que","son","fils","veut","surprendre","son","père","","","","Le","garçon","choisit","un","costume","de","chasseur","de","grands","crocodiles","du","Nil"
"10",4799800,"pseudo","","re","phouable","i","pavorilait","olà","déséser","qo","brafer","er","zai","ainplipité","mêdetiquet","","","","ub","phralc","sanlent","algarve","kau","imde","boufte","dré","pnau","ir","léne","nil","","","","vita","i","almit","infine","mic","dénnule","ox","enr","drarge","teuple","mafe","sphiasse"
"11",4820400,"sentence","","Il","efface","les","traces","de","son","passage","dans","le","champ","de","blé","","","","Il","joue","le","rôle","du","comte","qui","meurt","en","maudissant","ses","enfants","","","","Le","joueur","sort","la","carte","dissimulée","dans","la","doublure","de","sa","manche"
"12",4841000,"pseudo","","da","mysble","he","usi","za","avopique","fituavoir","minc","us","grif","og","djui","","","","gi","coudai","diq","shomdé","ui","qut","resitre","irir","fe","vobre","ec","uir","","","","qe","jonêler","oot","celgartiépoir","zow","séleques","ow","siftilde","hen","ausconlai","ub","kué"
"13",4861600,"sentence","","Elle","respire","le","parfum","des","roses","qui","ornent","la","table","du","salon","","","","Il","reçoit","un","sac","de","céréales","cultivées","dans","le","nord","du","pays","","","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu"
"14",4882200,"pseudo","","qe","bourêle","ocpresde","vry","glueux","heubise","aletdée","spû","hiz","tefivice","al","exane","","","","cra","vub","skaindre","imtusuyait","gli","croipotumes","he","sès","exricoplir","da","crop","froeil","","","","sow","ipé","culployer","kai","indain","um","briponmisi","mégusais","zà","rentofla","guèque","mébant"
"15",4902800,"sentence","","Il","ouvre","la","portière","de","sa","voiture","à","la","carrosserie","très","abîmée","","","","Notre","poule","pond","des","oeufs","à","la","coquille","dure","comme","du","béton","","","","Il","explique","que","son","inspiration","vient","de","ses","voyages","à","la","mer"
"16",4923400,"pseudo","","ar","garmiscoru","pnot","prirare","jax","baiterlée","nif","patcucige","ins","aluri","spha","pèmanferlons","","","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar","","","","zo","bongarteils","devré","ui","sembord","kuo","broueux","nal","proitre","ub","atoge","sugsira"
