"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",4944000,"pseudo","","qube","i","orble","ar","marciote","taz","craintrer","gox","encome","ub","citalme","déstuige","","","","zà","pabeux","mackets","zé","sciacre","ia","lèdonles","he","sotrée","femraîvent","um","aré","","","","gi","coudai","diq","shomdé","ui","qut","resitre","irir","fe","vobre","ec","uir"
"2",4964600,"sentence","","Il","regarde","ses","enfants","choisir","les","jouets","qui","finiront","dans","la","caisse","","","","Il","dit","que","tu","hésites","à","couper","tes","longs","cheveux","blond","cendré","","","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu"
"3",4985200,"pseudo","","stis","pustre","bam","rêsa","hoeu","gnue","iz","frub","bair","um","shuère","alcha","","","","gi","cepolui","co","tyverde","spe","rédinait","phapicun","ec","réq","cosbe","rétat","atnêres","","","","zo","bongarteils","devré","ui","sembord","kuo","broueux","nal","proitre","ub","atoge","sugsira"
"4",5005800,"sentence","","Il","explique","que","son","inspiration","vient","de","ses","voyages","à","la","mer","","","","Le","balayeur","respire","un","air","chargé","de","fines","particules","de","poussière","grise","","","","Il","cherche","le","nom","de","la","fille","qui","a","appelé","ses","parents"
"5",5026400,"pseudo","","ine","arnal","lentit","fué","sorsé","sby","prégretrec","us","slaupe","ux","ui","hôtrire","","","","cra","vub","skaindre","imtusuyait","gli","croipotumes","he","sès","exricoplir","da","crop","froeil","","","","cone","i","scinge","ps","sedaient","ir","anertres","enlenait","uo","fomanre","ia","prétairait"
"6",5047000,"sentence","","Il","efface","les","traces","de","son","passage","dans","le","champ","de","blé","","","","Elle","respire","le","parfum","des","roses","qui","ornent","la","table","du","salon","","","","Le","jardinier","redoute","les","brusques","changements","de","la","température","de","la","serre"
"7",5067600,"pseudo","","qe","gueulutenme","têsime","ato","achigame","crà","vilsayé","ranta","depasi","ub","sorévait","psyvec","","","","fe","i","teute","zà","agenmir","oq","za","nerftéfin","he","alr","qe","décone","","","","re","bompre","ipemi","re","sbueule","dri","bounite","afé","za","heusent","ub","praile"
"8",5088200,"sentence","","Une","taupe","creuse","des","trous","qui","défigurent","le","jardin","de","la","voisine","","","","La","pluie","frappe","les","ardoises","des","toits","des","immeubles","de","la","ville","","","","Elle","a","brûlé","toutes","les","lettres","de","son","ancien","fiancé","trop","infidèle"
"9",5108800,"pseudo","","jo","pasgara","zai","dro","ko","skaud","milbilsé","dépenrode","i","blouïe","ore","chetit","","","","pous","dunaislait","ila","enpa","ocse","lartie","gi","moncine","héver","branne","jo","cramfernir","","","","uo","restolot","skub","sigorques","uo","luder","ze","dor","hiscucoumais","aq","innonses","resete"
"10",5129400,"sentence","","Cette","cliente","veut","prendre","des","pilules","efficaces","contre","le","mal","de","tête","","","","Les","étoiles","brillent","en","émettant","une","lumière","inconstante","au","cours","du","temps","","","","Il","sursaute","en","entendant","le","grincement","de","la","lourde","porte","en","bois"
"11",5150000,"pseudo","","na","transle","qe","calanes","jui","enmavons","na","ar","limcialu","schot","oq","stra","","","","ar","garmiscoru","pnot","prirare","jax","baiterlée","nif","patcucige","ins","aluri","spha","pèmanferlons","","","","ol","fornonti","iphe","pouvetsisça","zaï","hômeune","dicume","mux","gû","zer","ko","ifletes"
"12",5170600,"sentence","","Je","vais","élaborer","un","plan","qui","permettra","de","redresser","nos","récentes","pertes","","","","Le","banquier","cherche","la","référence","des","derniers","chèques","de","ce","client","dépensier","","","","Le","garçon","lance","un","caillou","qui","ricoche","sur","la","surface","du","bassin"
"13",5191200,"pseudo","","ui","lidesséce","kuste","iz","caint","pui","brox","munu","apé","imconlors","ia","garle","","","","aq","rasmandre","papaient","i","depecmum","gû","drac","shorgue","sipt","zo","adsé","apcer","","","","slé","trautre","chrompre","er","sercrime","gny","brymphe","mousonblité","lo","sadre","us","mârir"
"14",5211800,"sentence","","Ils","ont","découvert","la","bactérie","qui","a","causé","des","épidémies","de","grippe","","","","Il","joue","le","rôle","du","comte","qui","meurt","en","maudissant","ses","enfants","","","","La","mère","a","peur","que","son","enfant","tombe","dans","la","rivière","glacée"
"15",5232400,"pseudo","","ol","uo","afie","ol","chanfois","ror","artité","zy","pserse","idresper","og","jinq","","","","ige","sournété","phriète","ox","rédapse","iol","prenverque","cli","guiplennua","ia","acor","queldé","","","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar"
"16",5253000,"sentence","","Il","pâlit","en","écoutant","les","détails","de","la","mort","de","son","épouse","","","","Elle","a","égaré","le","cartable","qui","contenait","les","copies","du","dernier","contrôle","","","","Le","garçon","choisit","un","costume","de","chasseur","de","grands","crocodiles","du","Nil"
