"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",3296000,"sentence","","Il","déteste","la","couleur","des","carreaux","de","sa","deuxième","salle","de","bain","","","","Ils","ont","construit","une","cabane","de","branchages","couverts","de","feuilles","encore","vertes","","","","La","petite","regarde","comment","son","père","grille","les","épis","de","maïs","mur"
"2",3316600,"pseudo","","na","transle","qe","calanes","jui","enmavons","na","ar","limcialu","schot","oq","stra","","","","lo","imcutière","salsant","nêt","bonretvé","monmantende","um","uo","piedtoinaît","gi","za","anent","","","","chlec","ludre","océe","scû","groil","i","co","arpécoup","lété","lonme","na","têser"
"3",3337200,"sentence","","Elle","a","oublié","de","prévenir","la","deuxième","vendeuse","du","magasin","de","chaussures","","","","La","cuisinière","fait","griller","des","noisettes","qui","répandent","une","odeur","très","appétissante","","","","Le","notaire","consulte","les","lourds","volumes","empilés","sur","les","étagères","de","métal"
"4",3357800,"pseudo","","pace","gisse","gi","ass","zau","aguë","ol","ui","skal","zé","vrût","smais","","","","lo","vagenles","aq","heuvotion","iz","balténetin","lo","zé","shuise","efsés","na","ocna","","","","gi","gait","i","scel","zop","zaï","protue","sharc","cévu","us","busrete","sbogne"
"5",3378400,"sentence","","Elle","demande","que","son","frère","fasse","des","ronds","de","fumée","de","cigarette","","","","Le","jardinier","redoute","les","brusques","changements","de","la","température","de","la","serre","","","","Le","garagiste","parvient","à","extraire","le","clou","enfoncé","dans","le","pneu","avant"
"6",3399000,"pseudo","","og","tentiprès","lèser","co","nument","ui","ull","cefin","pna","piter","zuoi","hagné","","","","uc","jiel","folvedie","ar","duff","hai","tuhuvisir","zû","elfercibe","spu","faipadre","preslu","","","","ko","auches","vilou","uc","femvêtits","pud","speute","za","intièta","ar","zy","schompte"
"7",3419600,"sentence","","Le","promeneur","lâche","la","laisse","de","son","chien","qui","aboie","sans","arrêt","","","","Le","fermier","dit","que","sa","fille","souhaite","apprendre","à","traire","les","vaches","","","","Les","étoiles","brillent","en","émettant","une","lumière","inconstante","au","cours","du","temps"
"8",3440200,"pseudo","","qe","imtare","os","croinerme","ox","avate","zû","cluff","strui","apcote","re","mugue","","","","na","shuand","vaigle","pec","uo","faper","stertre","ub","olie","ox","vuste","désuilé","","","","co","monvate","i","flipble","ps","ryan","he","er","aftasant","er","tâs","isièler"
"9",3460800,"sentence","","Le","locataire","raconte","que","la","gardienne","adore","éplucher","les","pommes","de","terre","","","","Le","romancier","a","fini","le","manuscrit","promis","à","son","éditeur","si","impatient","","","","Il","regarde","ses","enfants","choisir","les","jouets","qui","finiront","dans","la","caisse"
"10",3481400,"pseudo","","fe","i","teute","zà","agenmir","oq","za","nerftéfin","he","alr","qe","décone","","","","ol","uo","afie","ol","chanfois","ror","artité","zy","pserse","idresper","og","jinq","","","","zy","cutonséce","didis","gi","na","ité","sqyan","zac","na","pnube","na","vça"
"11",3502000,"sentence","","Le","coureur","fait","le","tour","de","la","piste","recouverte","de","bitume","dur","","","","Le","passant","examine","le","luxueux","canapé","abandonné","sur","le","bord","du","trottoir","","","","Je","vais","élaborer","un","plan","qui","permettra","de","redresser","nos","récentes","pertes"
"12",3522600,"pseudo","","ia","tibe","qub","ué","konc","saz","lesi","zà","didi","ui","na","letprit","","","","co","comelcart","simvant","trà","jo","manversez","seche","danlicès","olk","pabric","ud","lèton","","","","qo","frècouble","i","noeu","he","bonviment","fipété","i","hes","renméte","jo","schyourte"
"13",3543200,"sentence","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu","","","","Tes","enfants","refusent","de","lire","le","dernier","chapitre","de","ce","livre","ennuyeux","","","","Elle","a","accepté","que","son","fils","achète","une","télévision","à","écran","plat"
"14",3563800,"pseudo","","uc","emdre","jo","dousiser","nel","instrés","ar","fe","kève","qo","ato","aulèce","","","","fe","raimais","psendre","ud","saiques","pneute","salnlenté","uve","ze","dime","ow","sproprès","","","","vita","i","almit","infine","mic","dénnule","ox","enr","drarge","teuple","mafe","sphiasse"
"15",3584400,"sentence","","Il","tape","sur","le","clou","qui","fend","le","bois","de","la","commode","","","","Le","cuisinier","remue","la","sauce","qui","cuit","dans","une","casserole","en","acier","","","","Elle","coupe","le","fil","qui","pend","de","sa","robe","en","soie","noire"
"16",3605000,"pseudo","","cra","vub","skaindre","imtusuyait","gli","croipotumes","he","sès","exricoplir","da","crop","froeil","","","","iz","montiènie","phosté","re","bliol","vam","blimbe","ipé","iltodièle","cli","ko","bilres","","","","ec","escheter","kor","fça","combletrait","stoue","um","mum","maprore","i","re","kox"
