"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",659200,"sentence","","Il","cherche","à","joindre","le","curé","de","la","paroisse","de","son","parrain","","","","Le","vacancier","écoute","le","bruit","des","vagues","qui","déferlent","sur","le","rivage","","","","Elle","a","brûlé","toutes","les","lettres","de","son","ancien","fiancé","trop","infidèle"
"2",679800,"pseudo","","us","paunais","boq","los","scrym","tis","reles","gi","ze","afval","crop","acges","","","","sow","ipé","culployer","kai","indain","um","briponmisi","mégusais","zà","rentofla","guèque","mébant","","","","gû","gnarc","gû","voyapadi","ar","zû","décarmi","i","ko","trissenvait","stas","sphegs"
"3",700400,"sentence","","Le","passant","examine","le","luxueux","canapé","abandonné","sur","le","bord","du","trottoir","","","","La","petite","regarde","comment","son","père","grille","les","épis","de","maïs","mur","","","","Le","promeneur","lâche","la","laisse","de","son","chien","qui","aboie","sans","arrêt"
"4",721000,"pseudo","","tyce","jerihui","ir","susent","naï","latch","osi","cruide","qo","huidu","ux","ornit","","","","pace","gisse","gi","ass","zau","aguë","ol","ui","skal","zé","vrût","smais","","","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar"
"5",741600,"sentence","","Le","garçon","répond","que","sa","soeur","cherche","un","tube","de","colle","blanche","","","","Le","chorégraphe","réunit","les","danseurs","qui","veulent","faire","partie","du","prochain","ballet","","","","Elle","a","oublié","de","prévenir","la","deuxième","vendeuse","du","magasin","de","chaussures"
"6",762200,"pseudo","","slé","trautre","chrompre","er","sercrime","gny","brymphe","mousonblité","lo","sadre","us","mârir","","","","co","comelcart","simvant","trà","jo","manversez","seche","danlicès","olk","pabric","ud","lèton","","","","qe","bourêle","ocpresde","vry","glueux","heubise","aletdée","spû","hiz","tefivice","al","exane"
"7",782800,"sentence","","Il","reçoit","un","sac","de","céréales","cultivées","dans","le","nord","du","pays","","","","Il","vérifie","les","installations","qui","assurent","la","sécurité","des","passagers","du","vol","","","","Elle","a","accepté","que","son","fils","achète","une","télévision","à","écran","plat"
"8",803400,"pseudo","","da","mavoies","aka","farites","prender","zam","asieur","qud","cetquasa","rèle","ow","phetch","","","","gi","cepolui","co","tyverde","spe","rédinait","phapicun","ec","réq","cosbe","rétat","atnêres","","","","ar","garmiscoru","pnot","prirare","jax","baiterlée","nif","patcucige","ins","aluri","spha","pèmanferlons"
"9",824000,"sentence","","Il","écoute","le","concierge","raconter","les","aventures","du","locataire","du","premier","étage","","","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu","","","","Il","compte","les","mots","qui","couvrent","la","page","imprimée","en","petits","caractères"
"10",844600,"pseudo","","pous","dunaislait","ila","enpa","ocse","lartie","gi","moncine","héver","branne","jo","cramfernir","","","","apgé","vonne","um","gâvanprès","co","sotes","row","fe","tène","ogir","sqâle","raplui","","","","fe","notys","sat","ir","afecler","cramièté","he","disgenquent","ui","ros","ansins","souvons"
"11",865200,"sentence","","Le","chanvre","est","une","fibre","qui","donne","de","la","toile","trop","rêche","","","","Elle","coupe","le","fil","qui","pend","de","sa","robe","en","soie","noire","","","","Le","prêtre","salue","le","menuisier","qui","répare","le","plafond","de","la","chapelle"
"12",885800,"pseudo","","zy","cutonséce","didis","gi","na","ité","sqyan","zac","na","pnube","na","vça","","","","ow","juslere","béme","iz","sbié","fe","aq","ovver","acoucution","os","tenver","rub","","","","ub","prérume","chosins","zy","têfile","ko","the","adenbes","ko","menna","zû","mênuvois"
"13",906400,"sentence","","Le","rat","sort","de","son","trou","creusé","dans","le","mur","du","salon","","","","Le","notaire","consulte","les","lourds","volumes","empilés","sur","les","étagères","de","métal","","","","La","cuisinière","fait","griller","des","noisettes","qui","répandent","une","odeur","très","appétissante"
"14",927000,"pseudo","","cone","i","scinge","ps","sedaient","ir","anertres","enlenait","uo","fomanre","ia","prétairait","","","","gi","gait","i","scel","zop","zaï","protue","sharc","cévu","us","busrete","sbogne","","","","er","graï","gymce","glû","coubre","pui","glonfrée","gni","ux","brûne","da","setré"
"15",947600,"sentence","","La","mère","sourit","en","comprenant","que","son","fils","veut","surprendre","son","père","","","","La","pluie","frappe","les","ardoises","des","toits","des","immeubles","de","la","ville","","","","Le","garçon","choisit","un","costume","de","chasseur","de","grands","crocodiles","du","Nil"
"16",968200,"pseudo","","ze","magé","algasé","ia","préasetait","ile","igé","kêne","rhes","manpelcits","nog","zown","","","","stine","faneque","sles","alcerle","gec","dovanir","cetcelcre","vesgue","ux","vuc","qo","flog","","","","zû","gâliverte","i","jeuma","os","enges","us","zo","salgne","ar","basaci","thâpre"
