"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",9888000,"sentence","","Le","bijoutier","a","perdu","la","boîte","de","sa","chaîne","en","argent","massif","","","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu","","","","Elle","demande","que","son","frère","fasse","des","ronds","de","fumée","de","cigarette"
"2",9908600,"pseudo","","zy","cutonséce","didis","gi","na","ité","sqyan","zac","na","pnube","na","vça","","","","ine","arnal","lentit","fué","sorsé","sby","prégretrec","us","slaupe","ux","ui","hôtrire","","","","zo","bongarteils","devré","ui","sembord","kuo","broueux","nal","proitre","ub","atoge","sugsira"
"3",9929200,"sentence","","Le","notaire","consulte","les","lourds","volumes","empilés","sur","les","étagères","de","métal","","","","Le","chorégraphe","réunit","les","danseurs","qui","veulent","faire","partie","du","prochain","ballet","","","","Le","garagiste","parvient","à","extraire","le","clou","enfoncé","dans","le","pneu","avant"
"4",9949800,"pseudo","","ia","tibe","qub","ué","konc","saz","lesi","zà","didi","ui","na","letprit","","","","pace","gisse","gi","ass","zau","aguë","ol","ui","skal","zé","vrût","smais","","","","ui","lidesséce","kuste","iz","caint","pui","brox","munu","apé","imconlors","ia","garle"
"5",9970400,"sentence","","Il","déteste","la","couleur","des","carreaux","de","sa","deuxième","salle","de","bain","","","","Le","soleil","va","accélérer","la","fonte","de","cette","mince","couche","de","glace","","","","Il","tape","sur","le","clou","qui","fend","le","bois","de","la","commode"
"6",9991000,"pseudo","","tyce","jerihui","ir","susent","naï","latch","osi","cruide","qo","huidu","ux","ornit","","","","uc","emdre","jo","dousiser","nel","instrés","ar","fe","kève","qo","ato","aulèce","","","","qe","bourêle","ocpresde","vry","glueux","heubise","aletdée","spû","hiz","tefivice","al","exane"
"7",10011600,"sentence","","Le","banquier","cherche","la","référence","des","derniers","chèques","de","ce","client","dépensier","","","","Elle","respire","le","parfum","des","roses","qui","ornent","la","table","du","salon","","","","Il","compte","les","mots","qui","couvrent","la","page","imprimée","en","petits","caractères"
"8",10032200,"pseudo","","ub","prérume","chosins","zy","têfile","ko","the","adenbes","ko","menna","zû","mênuvois","","","","ow","juslere","béme","iz","sbié","fe","aq","ovver","acoucution","os","tenver","rub","","","","uo","restolot","skub","sigorques","uo","luder","ze","dor","hiscucoumais","aq","innonses","resete"
"9",10052800,"sentence","","Il","pâlit","en","écoutant","les","détails","de","la","mort","de","son","épouse","","","","Le","joueur","sort","la","carte","dissimulée","dans","la","doublure","de","sa","manche","","","","Le","cuisinier","remue","la","sauce","qui","cuit","dans","une","casserole","en","acier"
"10",10073400,"pseudo","","og","tentiprès","lèser","co","nument","ui","ull","cefin","pna","piter","zuoi","hagné","","","","ilé","chotite","fêrimeme","uc","dèle","zé","englile","mipevant","na","ub","hisci","raifecle","","","","uo","herdre","omre","ud","débon","insercovec","afet","ub","conpaner","ze","os","pimeze"
"11",10094000,"sentence","","Il","reçoit","un","sac","de","céréales","cultivées","dans","le","nord","du","pays","","","","Il","cuisine","en","suivant","des","recettes","héritées","de","son","vieil","oncle","Gustave","","","","Le","passant","examine","le","luxueux","canapé","abandonné","sur","le","bord","du","trottoir"
"12",10114600,"pseudo","","sow","ipé","culployer","kai","indain","um","briponmisi","mégusais","zà","rentofla","guèque","mébant","","","","stine","faneque","sles","alcerle","gec","dovanir","cetcelcre","vesgue","ux","vuc","qo","flog","","","","gi","coudai","diq","shomdé","ui","qut","resitre","irir","fe","vobre","ec","uir"
"13",10135200,"sentence","","La","mère","sourit","en","comprenant","que","son","fils","veut","surprendre","son","père","","","","Ils","ont","découvert","la","bactérie","qui","a","causé","des","épidémies","de","grippe","","","","Cette","cliente","veut","prendre","des","pilules","efficaces","contre","le","mal","de","tête"
"14",10155800,"pseudo","","omb","ali","encomveux","zû","resjours","gix","i","gnuet","pix","toursonre","zû","sphême","","","","aq","rasmandre","papaient","i","depecmum","gû","drac","shorgue","sipt","zo","adsé","apcer","","","","na","transle","qe","calanes","jui","enmavons","na","ar","limcialu","schot","oq","stra"
"15",10176400,"sentence","","Il","ouvre","la","portière","de","sa","voiture","à","la","carrosserie","très","abîmée","","","","Elle","montre","son","bras","pris","dans","un","gros","bloc","de","plâtre","blanc","","","","Les","branches","brûlent","en","lançant","des","étincelles","qui","illuminent","la","nuit","sombre"
"16",10197000,"pseudo","","stis","pustre","bam","rêsa","hoeu","gnue","iz","frub","bair","um","shuère","alcha","","","","qube","i","orble","ar","marciote","taz","craintrer","gox","encome","ub","citalme","déstuige","","","","chlec","ludre","océe","scû","groil","i","co","arpécoup","lété","lonme","na","têser"
