"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",8899200,"pseudo","","ze","magé","algasé","ia","préasetait","ile","igé","kêne","rhes","manpelcits","nog","zown","","","","zy","cutonséce","didis","gi","na","ité","sqyan","zac","na","pnube","na","vça","","","","qe","gueulutenme","têsime","ato","achigame","crà","vilsayé","ranta","depasi","ub","sorévait","psyvec"
"2",8919800,"sentence","","Il","dit","que","tu","hésites","à","couper","tes","longs","cheveux","blond","cendré","","","","Le","balayeur","respire","un","air","chargé","de","fines","particules","de","poussière","grise","","","","Il","refuse","de","supporter","la","fumée","des","cigarettes","de","ses","voisins","impolis"
"3",8940400,"pseudo","","uo","restolot","skub","sigorques","uo","luder","ze","dor","hiscucoumais","aq","innonses","resete","","","","re","bompre","ipemi","re","sbueule","dri","bounite","afé","za","heusent","ub","praile","","","","qube","i","orble","ar","marciote","taz","craintrer","gox","encome","ub","citalme","déstuige"
"4",8961000,"sentence","","Il","entre","sur","la","scène","inondée","par","la","lumière","des","projecteurs","puissants","","","","Il","a","peur","que","les","talons","rayent","le","parquet","de","bois","tendre","","","","Le","bijoutier","a","perdu","la","boîte","de","sa","chaîne","en","argent","massif"
"5",8981600,"pseudo","","fe","raimais","psendre","ud","saiques","pneute","salnlenté","uve","ze","dime","ow","sproprès","","","","ige","sournété","phriète","ox","rédapse","iol","prenverque","cli","guiplennua","ia","acor","queldé","","","","ub","phralc","sanlent","algarve","kau","imde","boufte","dré","pnau","ir","léne","nil"
"6",9002200,"sentence","","Il","écoute","le","concierge","raconter","les","aventures","du","locataire","du","premier","étage","","","","Le","garçon","lance","un","caillou","qui","ricoche","sur","la","surface","du","bassin","","","","Il","efface","les","traces","de","son","passage","dans","le","champ","de","blé"
"7",9022800,"pseudo","","apgé","vonne","um","gâvanprès","co","sotes","row","fe","tène","ogir","sqâle","raplui","","","","gi","semenges","avièvec","ol","halècrets","kia","suisiter","armitît","ol","ol","préger","forvanges","","","","ec","escheter","kor","fça","combletrait","stoue","um","mum","maprore","i","re","kox"
"8",9043400,"sentence","","Le","chorégraphe","réunit","les","danseurs","qui","veulent","faire","partie","du","prochain","ballet","","","","Il","reçoit","un","sac","de","céréales","cultivées","dans","le","nord","du","pays","","","","Elle","a","oublié","de","prévenir","la","deuxième","vendeuse","du","magasin","de","chaussures"
"9",9064000,"pseudo","","sow","ipé","culployer","kai","indain","um","briponmisi","mégusais","zà","rentofla","guèque","mébant","","","","stis","pustre","bam","rêsa","hoeu","gnue","iz","frub","bair","um","shuère","alcha","","","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar"
"10",9084600,"sentence","","Le","notaire","consulte","les","lourds","volumes","empilés","sur","les","étagères","de","métal","","","","Elle","a","égaré","le","cartable","qui","contenait","les","copies","du","dernier","contrôle","","","","Il","regarde","ses","enfants","choisir","les","jouets","qui","finiront","dans","la","caisse"
"11",9105200,"pseudo","","og","tentiprès","lèser","co","nument","ui","ull","cefin","pna","piter","zuoi","hagné","","","","fe","i","teute","zà","agenmir","oq","za","nerftéfin","he","alr","qe","décone","","","","iz","montiènie","phosté","re","bliol","vam","blimbe","ipé","iltodièle","cli","ko","bilres"
"12",9125800,"sentence","","Il","pâlit","en","écoutant","les","détails","de","la","mort","de","son","épouse","","","","Il","déteste","la","couleur","des","carreaux","de","sa","deuxième","salle","de","bain","","","","Le","journaliste","écrit","un","article","qui","dénonce","les","fraudes","du","maire","sortant"
"13",9146400,"pseudo","","uo","herdre","omre","ud","débon","insercovec","afet","ub","conpaner","ze","os","pimeze","","","","gi","gait","i","scel","zop","zaï","protue","sharc","cévu","us","busrete","sbogne","","","","os","sevede","um","attennant","quelbien","taq","ailciplir","za","moutenqua","ze","meindre","imvez"
"14",9167000,"sentence","","Les","étoiles","brillent","en","émettant","une","lumière","inconstante","au","cours","du","temps","","","","La","cuisinière","fait","griller","des","noisettes","qui","répandent","une","odeur","très","appétissante","","","","Le","promeneur","lâche","la","laisse","de","son","chien","qui","aboie","sans","arrêt"
"15",9187600,"pseudo","","zo","pourpes","iz","faq","co","og","danus","ucé","i","cleule","ren","taildes","","","","ko","auches","vilou","uc","femvêtits","pud","speute","za","intièta","ar","zy","schompte","","","","ui","lidesséce","kuste","iz","caint","pui","brox","munu","apé","imconlors","ia","garle"
"16",9208200,"sentence","","Elle","a","accepté","que","son","fils","achète","une","télévision","à","écran","plat","","","","Il","explique","que","son","inspiration","vient","de","ses","voyages","à","la","mer","","","","Le","garçon","choisit","un","costume","de","chasseur","de","grands","crocodiles","du","Nil"
