"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",10217600,"pseudo","","za","fiste","alnuer","muo","ahijours","vry","conla","hul","grilsases","lo","gû","coumi","","","","qe","imtare","os","croinerme","ox","avate","zû","cluff","strui","apcote","re","mugue","","","","ui","lidesséce","kuste","iz","caint","pui","brox","munu","apé","imconlors","ia","garle"
"2",10238200,"sentence","","Le","chorégraphe","réunit","les","danseurs","qui","veulent","faire","partie","du","prochain","ballet","","","","Elle","a","accepté","que","son","fils","achète","une","télévision","à","écran","plat","","","","Paul","tente","de","raisonner","sa","soeur","qui","se","vexe","sans","bonne","raison"
"3",10258800,"pseudo","","ze","magé","algasé","ia","préasetait","ile","igé","kêne","rhes","manpelcits","nog","zown","","","","cra","vub","skaindre","imtusuyait","gli","croipotumes","he","sès","exricoplir","da","crop","froeil","","","","da","mysble","he","usi","za","avopique","fituavoir","minc","us","grif","og","djui"
"4",10279400,"sentence","","Il","refuse","de","supporter","la","fumée","des","cigarettes","de","ses","voisins","impolis","","","","Elle","montre","son","bras","pris","dans","un","gros","bloc","de","plâtre","blanc","","","","Cette","cliente","veut","prendre","des","pilules","efficaces","contre","le","mal","de","tête"
"5",10300000,"pseudo","","zà","pabeux","mackets","zé","sciacre","ia","lèdonles","he","sotrée","femraîvent","um","aré","","","","qo","frècouble","i","noeu","he","bonviment","fipété","i","hes","renméte","jo","schyourte","","","","ar","garmiscoru","pnot","prirare","jax","baiterlée","nif","patcucige","ins","aluri","spha","pèmanferlons"
"6",10320600,"sentence","","Le","locataire","raconte","que","la","gardienne","adore","éplucher","les","pommes","de","terre","","","","Elle","a","brûlé","toutes","les","lettres","de","son","ancien","fiancé","trop","infidèle","","","","Il","vérifie","les","installations","qui","assurent","la","sécurité","des","passagers","du","vol"
"7",10341200,"pseudo","","gi","gait","i","scel","zop","zaï","protue","sharc","cévu","us","busrete","sbogne","","","","vita","i","almit","infine","mic","dénnule","ox","enr","drarge","teuple","mafe","sphiasse","","","","qe","bourêle","ocpresde","vry","glueux","heubise","aletdée","spû","hiz","tefivice","al","exane"
"8",10361800,"sentence","","Il","sursaute","en","entendant","le","grincement","de","la","lourde","porte","en","bois","","","","Le","promeneur","lâche","la","laisse","de","son","chien","qui","aboie","sans","arrêt","","","","Le","garçon","lance","un","caillou","qui","ricoche","sur","la","surface","du","bassin"
"9",10382400,"pseudo","","gi","coudai","diq","shomdé","ui","qut","resitre","irir","fe","vobre","ec","uir","","","","ol","fornonti","iphe","pouvetsisça","zaï","hômeune","dicume","mux","gû","zer","ko","ifletes","","","","chlec","ludre","océe","scû","groil","i","co","arpécoup","lété","lonme","na","têser"
"10",10403000,"sentence","","Le","coureur","fait","le","tour","de","la","piste","recouverte","de","bitume","dur","","","","Il","dit","que","tu","hésites","à","couper","tes","longs","cheveux","blond","cendré","","","","Il","pâlit","en","écoutant","les","détails","de","la","mort","de","son","épouse"
"11",10423600,"pseudo","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar","","","","lo","vagenles","aq","heuvotion","iz","balténetin","lo","zé","shuise","efsés","na","ocna","","","","apgé","vonne","um","gâvanprès","co","sotes","row","fe","tène","ogir","sqâle","raplui"
"12",10444200,"sentence","","La","mère","sourit","en","comprenant","que","son","fils","veut","surprendre","son","père","","","","Une","taupe","creuse","des","trous","qui","défigurent","le","jardin","de","la","voisine","","","","Le","jardinier","redoute","les","brusques","changements","de","la","température","de","la","serre"
"13",10464800,"pseudo","","co","comelcart","simvant","trà","jo","manversez","seche","danlicès","olk","pabric","ud","lèton","","","","ze","sta","aze","ec","pretion","i","sprieu","qût","défre","atcrune","zinge","abéles","","","","na","vreint","kça","délu","ata","poutrité","ub","nauf","renische","lo","brorne","blanseilre"
"14",10485400,"sentence","","Elle","coupe","le","fil","qui","pend","de","sa","robe","en","soie","noire","","","","Elle","demande","que","son","frère","fasse","des","ronds","de","fumée","de","cigarette","","","","Tes","enfants","refusent","de","lire","le","dernier","chapitre","de","ce","livre","ennuyeux"
"15",10506000,"pseudo","","ec","escheter","kor","fça","combletrait","stoue","um","mum","maprore","i","re","kox","","","","co","monvate","i","flipble","ps","ryan","he","er","aftasant","er","tâs","isièler","","","","jo","stain","kla","fe","puson","vamphre","ric","ko","cemième","uer","acrèriovant","permender"
"16",10526600,"sentence","","Le","magicien","fait","disparaître","les","bonbons","étalés","sur","le","sol","du","théâtre","","","","La","pluie","frappe","les","ardoises","des","toits","des","immeubles","de","la","ville","","","","Le","prêtre","salue","le","menuisier","qui","répare","le","plafond","de","la","chapelle"
