"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",1318400,"sentence","","Elle","a","brûlé","toutes","les","lettres","de","son","ancien","fiancé","trop","infidèle","","","","Il","va","voir","le","bénévole","qui","taille","de","larges","tranches","de","pain","","","","La","cuisinière","fait","griller","des","noisettes","qui","répandent","une","odeur","très","appétissante"
"2",1339000,"pseudo","","zû","gâliverte","i","jeuma","os","enges","us","zo","salgne","ar","basaci","thâpre","","","","ow","juslere","béme","iz","sbié","fe","aq","ovver","acoucution","os","tenver","rub","","","","pulé","i","disrait","sva","res","dong","repota","sme","heucierdre","i","sorai","drar"
"3",1359600,"sentence","","Il","pâlit","en","écoutant","les","détails","de","la","mort","de","son","épouse","","","","Il","craint","de","manquer","le","train","qui","doit","partir","à","quatre","heures","","","","Il","explique","que","son","inspiration","vient","de","ses","voyages","à","la","mer"
"4",1380200,"pseudo","","slé","trautre","chrompre","er","sercrime","gny","brymphe","mousonblité","lo","sadre","us","mârir","","","","uo","restolot","skub","sigorques","uo","luder","ze","dor","hiscucoumais","aq","innonses","resete","","","","da","gomçon","og","temiste","ar","briol","nil","hôgé","traîse","i","pobime","franne"
"5",1400800,"sentence","","Il","cuisine","en","suivant","des","recettes","héritées","de","son","vieil","oncle","Gustave","","","","Ils","ont","découvert","la","bactérie","qui","a","causé","des","épidémies","de","grippe","","","","Le","romancier","a","fini","le","manuscrit","promis","à","son","éditeur","si","impatient"
"6",1421400,"pseudo","","uc","jiel","folvedie","ar","duff","hai","tuhuvisir","zû","elfercibe","spu","faipadre","preslu","","","","co","comelcart","simvant","trà","jo","manversez","seche","danlicès","olk","pabric","ud","lèton","","","","gi","coudai","diq","shomdé","ui","qut","resitre","irir","fe","vobre","ec","uir"
"7",1442000,"sentence","","Il","sursaute","en","entendant","le","grincement","de","la","lourde","porte","en","bois","","","","Il","a","brisé","le","bouchon","de","la","bouteille","de","jus","de","raisin","","","","Il","écoute","le","concierge","raconter","les","aventures","du","locataire","du","premier","étage"
"8",1462600,"pseudo","","ine","arnal","lentit","fué","sorsé","sby","prégretrec","us","slaupe","ux","ui","hôtrire","","","","re","phouable","i","pavorilait","olà","déséser","qo","brafer","er","zai","ainplipité","mêdetiquet","","","","jo","stain","kla","fe","puson","vamphre","ric","ko","cemième","uer","acrèriovant","permender"
"9",1483200,"sentence","","Tes","enfants","refusent","de","lire","le","dernier","chapitre","de","ce","livre","ennuyeux","","","","Le","chanvre","est","une","fibre","qui","donne","de","la","toile","trop","rêche","","","","Elle","montre","son","bras","pris","dans","un","gros","bloc","de","plâtre","blanc"
"10",1503800,"pseudo","","tyce","jerihui","ir","susent","naï","latch","osi","cruide","qo","huidu","ux","ornit","","","","pous","dunaislait","ila","enpa","ocse","lartie","gi","moncine","héver","branne","jo","cramfernir","","","","ui","lidesséce","kuste","iz","caint","pui","brox","munu","apé","imconlors","ia","garle"
"11",1524400,"sentence","","Il","cherche","à","joindre","le","curé","de","la","paroisse","de","son","parrain","","","","Il","tape","sur","le","clou","qui","fend","le","bois","de","la","commode","","","","Elle","a","oublié","de","prévenir","la","deuxième","vendeuse","du","magasin","de","chaussures"
"12",1545000,"pseudo","","aq","rasmandre","papaient","i","depecmum","gû","drac","shorgue","sipt","zo","adsé","apcer","","","","ze","magé","algasé","ia","préasetait","ile","igé","kêne","rhes","manpelcits","nog","zown","","","","qe","imtare","os","croinerme","ox","avate","zû","cluff","strui","apcote","re","mugue"
"13",1565600,"sentence","","Le","joueur","sort","la","carte","dissimulée","dans","la","doublure","de","sa","manche","","","","Il","efface","les","traces","de","son","passage","dans","le","champ","de","blé","","","","Il","cherche","le","nom","de","la","fille","qui","a","appelé","ses","parents"
"14",1586200,"pseudo","","fe","i","teute","zà","agenmir","oq","za","nerftéfin","he","alr","qe","décone","","","","os","resanait","wcienne","uc","imi","telcer","ux","psard","brustenets","da","prépurait","irnal","","","","ko","auches","vilou","uc","femvêtits","pud","speute","za","intièta","ar","zy","schompte"
"15",1606800,"sentence","","Nous","regrettons","que","vous","ayez","décidé","de","quitter","notre","maison","de","production","","","","La","chanteuse","jette","le","dé","qui","roule","sur","la","table","de","jeu","","","","Le","vacancier","écoute","le","bruit","des","vagues","qui","déferlent","sur","le","rivage"
"16",1627400,"pseudo","","na","shuand","vaigle","pec","uo","faper","stertre","ub","olie","ox","vuste","désuilé","","","","ige","sournété","phriète","ox","rédapse","iol","prenverque","cli","guiplennua","ia","acor","queldé","","","","za","bart","zà","aflé","za","beôle","sbû","skuis","ux","grompetsir","mês","heusila"
