"","onset","cond","target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","X..","X...1","X...2","V1.1","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","X...3","X...4","X...5","V1.2","V2.2","V3.2","V4.2","V5.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2"
"1",2966400,"pseudo","","za","bart","zà","aflé","za","beôle","sbû","skuis","ux","grompetsir","mês","heusila","","","","fe","i","teute","zà","agenmir","oq","za","nerftéfin","he","alr","qe","décone","","","","apgé","vonne","um","gâvanprès","co","sotes","row","fe","tène","ogir","sqâle","raplui"
"2",2987000,"sentence","","Ils","ont","construit","une","cabane","de","branchages","couverts","de","feuilles","encore","vertes","","","","Tes","enfants","refusent","de","lire","le","dernier","chapitre","de","ce","livre","ennuyeux","","","","Elle","a","égaré","le","cartable","qui","contenait","les","copies","du","dernier","contrôle"
"3",3007600,"pseudo","","zo","bongarteils","devré","ui","sembord","kuo","broueux","nal","proitre","ub","atoge","sugsira","","","","oq","i","atés","vox","sre","peille","borgue","he","coupese","os","piel","flygne","","","","ol","fornonti","iphe","pouvetsisça","zaï","hômeune","dicume","mux","gû","zer","ko","ifletes"
"4",3028200,"sentence","","Le","balayeur","respire","un","air","chargé","de","fines","particules","de","poussière","grise","","","","Il","craint","de","manquer","le","train","qui","doit","partir","à","quatre","heures","","","","Le","bijoutier","a","perdu","la","boîte","de","sa","chaîne","en","argent","massif"
"5",3048800,"pseudo","","ko","auches","vilou","uc","femvêtits","pud","speute","za","intièta","ar","zy","schompte","","","","qe","jonêler","oot","celgartiépoir","zow","séleques","ow","siftilde","hen","ausconlai","ub","kué","","","","ub","phralc","sanlent","algarve","kau","imde","boufte","dré","pnau","ir","léne","nil"
"6",3069400,"sentence","","Le","prêtre","salue","le","menuisier","qui","répare","le","plafond","de","la","chapelle","","","","Il","a","peur","que","les","talons","rayent","le","parquet","de","bois","tendre","","","","Je","crois","que","tu","devrais","accepter","la","proposition","de","ton","nouvel","associé"
"7",3090000,"pseudo","","ige","sournété","phriète","ox","rédapse","iol","prenverque","cli","guiplennua","ia","acor","queldé","","","","qube","i","orble","ar","marciote","taz","craintrer","gox","encome","ub","citalme","déstuige","","","","ui","lidesséce","kuste","iz","caint","pui","brox","munu","apé","imconlors","ia","garle"
"8",3110600,"sentence","","Il","tape","sur","le","clou","qui","fend","le","bois","de","la","commode","","","","La","mère","sourit","en","comprenant","que","son","fils","veut","surprendre","son","père","","","","Le","garçon","lance","un","caillou","qui","ricoche","sur","la","surface","du","bassin"
"9",3131200,"pseudo","","ar","garmiscoru","pnot","prirare","jax","baiterlée","nif","patcucige","ins","aluri","spha","pèmanferlons","","","","gi","gait","i","scel","zop","zaï","protue","sharc","cévu","us","busrete","sbogne","","","","za","fiste","alnuer","muo","ahijours","vry","conla","hul","grilsases","lo","gû","coumi"
"10",3151800,"sentence","","La","petite","regarde","comment","son","père","grille","les","épis","de","maïs","mur","","","","Le","joueur","sort","la","carte","dissimulée","dans","la","doublure","de","sa","manche","","","","Le","garagiste","parvient","à","extraire","le","clou","enfoncé","dans","le","pneu","avant"
"11",3172400,"pseudo","","ilé","chotite","fêrimeme","uc","dèle","zé","englile","mipevant","na","ub","hisci","raifecle","","","","da","mavoies","aka","farites","prender","zam","asieur","qud","cetquasa","rèle","ow","phetch","","","","na","transle","qe","calanes","jui","enmavons","na","ar","limcialu","schot","oq","stra"
"12",3193000,"sentence","","Il","sursaute","en","entendant","le","grincement","de","la","lourde","porte","en","bois","","","","Le","soleil","va","accélérer","la","fonte","de","cette","mince","couche","de","glace","","","","Ils","ont","découvert","la","bactérie","qui","a","causé","des","épidémies","de","grippe"
"13",3213600,"pseudo","","cra","vub","skaindre","imtusuyait","gli","croipotumes","he","sès","exricoplir","da","crop","froeil","","","","gû","gnarc","gû","voyapadi","ar","zû","décarmi","i","ko","trissenvait","stas","sphegs","","","","ze","magé","algasé","ia","préasetait","ile","igé","kêne","rhes","manpelcits","nog","zown"
"14",3234200,"sentence","","Il","entre","sur","la","scène","inondée","par","la","lumière","des","projecteurs","puissants","","","","Il","va","voir","le","bénévole","qui","taille","de","larges","tranches","de","pain","","","","Le","garçon","répond","que","sa","soeur","cherche","un","tube","de","colle","blanche"
"15",3254800,"pseudo","","uo","restolot","skub","sigorques","uo","luder","ze","dor","hiscucoumais","aq","innonses","resete","","","","stine","faneque","sles","alcerle","gec","dovanir","cetcelcre","vesgue","ux","vuc","qo","flog","","","","uo","herdre","omre","ud","débon","insercovec","afet","ub","conpaner","ze","os","pimeze"
"16",3275400,"sentence","","Elle","a","brûlé","toutes","les","lettres","de","son","ancien","fiancé","trop","infidèle","","","","Les","étoiles","brillent","en","émettant","une","lumière","inconstante","au","cours","du","temps","","","","Il","cherche","le","nom","de","la","fille","qui","a","appelé","ses","parents"
